Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rssi,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7,channels_8,channels_9,channels_10,channels_11,channels_12,channels_13,channels_14,channels_15,channels_16,channels_17
1676104290.0594108,1454,1676104289,997586880,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104290.10417,1455,1676104290,89591488,,255,1498,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104290.2032373,1456,1676104290,197595584,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104290.3057718,1457,1676104290,293599936,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104290.4053454,1458,1676104290,397604032,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104290.5086443,1459,1676104290,493608640,,255,1498,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104290.609917,1460,1676104290,597612992,,255,1498,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104290.702689,1461,1676104290,693617600,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104290.8037345,1462,1676104290,797622208,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104290.9037557,1463,1676104290,894626816,,255,1498,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104291.010087,1464,1676104291,1631424,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104291.1061249,1465,1676104291,93635776,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104291.2087808,1466,1676104291,197639872,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104291.3054237,1467,1676104291,293644480,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104291.4083061,1468,1676104291,401648832,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104291.5085933,1469,1676104291,493653440,,255,1498,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104291.6067853,1470,1676104291,601658048,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104291.7048416,1471,1676104291,693662656,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104291.8052714,1472,1676104291,789667264,,255,1498,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104291.9075491,1473,1676104291,897671872,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
