Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7,channels_8,channels_9,channels_10,channels_11,channels_12,channels_13,channels_14,channels_15
1676104290.0593145,2924,1676104289,950244880,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.0594087,2925,1676104290,184880,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.0718744,2926,1676104290,50139488,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.1042454,2927,1676104290,100093488,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.152408,2928,1676104290,150053584,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.2033322,2929,1676104290,200003584,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.2514684,2930,1676104290,249966936,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.3057878,2931,1676104290,299920936,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.353613,2932,1676104290,349877032,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.4056423,2933,1676104290,399829032,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.4548242,2934,1676104290,452280640,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.5086627,2935,1676104290,502237640,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.5590372,2936,1676104290,552192992,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.6100137,2937,1676104290,602151992,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.6555266,2938,1676104290,652106600,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.7026937,2939,1676104290,699562600,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.756793,2940,1676104290,752024208,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.8038588,2941,1676104290,799480208,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.8543196,2942,1676104290,851933816,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.9044657,2943,1676104290,899383816,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.9523246,2944,1676104290,949347424,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104291.0101728,2945,1676104291,1793424,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104291.051547,2946,1676104291,49257776,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104291.1062734,2947,1676104291,99217776,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104291.15239,2948,1676104291,149164872,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104291.2088645,2949,1676104291,201616872,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104291.2515814,2950,1676104291,249077480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104291.3055127,2951,1676104291,301533480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104291.3532896,2952,1676104291,351491832,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104291.4085004,2953,1676104291,402330832,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104291.4524915,2954,1676104291,448900440,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104291.5088599,2955,1676104291,501355440,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104291.5529194,2956,1676104291,551319048,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104291.606842,2957,1676104291,601267048,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104291.6520739,2958,1676104291,648725656,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104291.7049181,2959,1676104291,701180656,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104291.7540243,2960,1676104291,751137264,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104291.8054216,2961,1676104291,798606264,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104291.852837,2962,1676104291,851049872,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104291.9076242,2963,1676104291,901003872,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104291.9519172,2964,1676104291,950351736,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104292.0066633,2965,1676104292,2350736,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104292.053455,2966,1676104292,50872344,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104292.1086254,2967,1676104292,100826344,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104292.1515956,2968,1676104292,148283184,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104292.2051709,2969,1676104292,200734184,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104292.2535043,2970,1676104292,250700792,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104292.3038945,2971,1676104292,300646792,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104292.353593,2972,1676104292,350610912,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104292.4037778,2973,1676104292,398068912,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104292.452608,2974,1676104292,450520776,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104292.506889,2975,1676104292,500470776,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104292.551928,2976,1676104292,547933640,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104292.6069589,2977,1676104292,600390640,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104292.6536183,2978,1676104292,650344992,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104292.704519,2979,1676104292,700294992,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104292.7525795,2980,1676104292,750250856,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104292.805621,2981,1676104292,800209856,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104292.8539972,2982,1676104292,850175488,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104292.9039266,2983,1676104292,900124488,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104292.9523761,2984,1676104292,950399096,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104293.0027795,2985,1676104292,997540096,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104293.0514438,2986,1676104293,49992704,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104293.1039312,2987,1676104293,99944704,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104293.1519585,2988,1676104293,149902520,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104293.2054474,2989,1676104293,199852520,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
