Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1676104290.0414863,2,1676104289,21200218,,2,/record_1676104288854141692,Subscribing to /rosout_agg,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1676104290.0415497,3,1676104289,31926162,,2,/record_1676104288854141692,Subscribing to /vrpn_client_node/UAV0/pose,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1676104290.0415597,4,1676104289,41554568,,2,/record_1676104288854141692,Subscribing to /tf,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1676104290.0415678,5,1676104289,51577457,,2,/record_1676104288854141692,Subscribing to /vrpn_client_node/UAV1/pose,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1676104290.0415828,6,1676104289,61621549,,2,/record_1676104288854141692,Subscribing to /diagnostics,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1676104290.0415914,7,1676104289,71575048,,2,/record_1676104288854141692,Subscribing to /tf_static,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1676104290.0416005,8,1676104289,82429547,,2,/record_1676104288854141692,Subscribing to /mavlink/from,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1676104290.0416176,9,1676104289,92496121,,2,/record_1676104288854141692,Subscribing to /mavros/radio_status,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1676104290.0416265,10,1676104289,101457065,,2,/record_1676104288854141692,Subscribing to /mavros/target_actuator_control,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1676104290.0416346,11,1676104289,111887490,,2,/record_1676104288854141692,Subscribing to /mavros/adsb/vehicle,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
