Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,time_ref.secs,time_ref.nsecs,source
1676469260.1714864,141,1676469260,170818315,,1676469260,173108000,fcu
1676469261.1723933,142,1676469261,171790421,,1676469261,173108000,fcu
1676469262.1714735,143,1676469262,171098347,,1676469262,173108000,fcu
1676469263.170647,144,1676469263,170051872,,1676469263,172108000,fcu
1676469264.1703863,145,1676469264,169886113,,1676469264,172108000,fcu
1676469265.1725314,146,1676469265,172045941,,1676469265,174108000,fcu
1676469266.1724331,147,1676469266,172034296,,1676469266,174108000,fcu
1676469267.1707187,148,1676469267,169942706,,1676469267,172108000,fcu
1676469268.172387,149,1676469268,171967798,,1676469268,174108000,fcu
1676469269.1724718,150,1676469269,171995230,,1676469269,174108000,fcu
1676469270.1704671,151,1676469270,169935865,,1676469270,172108000,fcu
1676469271.1716464,152,1676469271,170950486,,1676469271,173108000,fcu
1676469272.172283,153,1676469272,171916336,,1676469272,174108000,fcu
1676469273.1727998,154,1676469273,171946315,,1676469273,174108000,fcu
1676469274.1724136,155,1676469274,172060899,,1676469274,174108000,fcu
1676469275.172374,156,1676469275,172004681,,1676469275,174108000,fcu
