Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,vector.x,vector.y,vector.z
1676469335.307874,1,1676469335,300422668,,2.533445211154187,-5.394834256732456,0.07179407784456243
1676469335.3190837,2,1676469335,312773704,,2.517263897376916,-5.335572594047263,0.07759133782757668
1676469335.322408,3,1676469335,320604324,,2.508592369224572,-5.367366644227852,0.08971823346107126
1676469335.3308775,4,1676469335,326458930,,2.508592369224572,-5.367366644227852,0.08971823346107126
1676469335.33648,5,1676469335,333269357,,2.5129445874382146,-5.378560942054993,0.10230740216513463
1676469335.3416398,6,1676469335,340357780,,2.537428769661267,-5.393891645339857,0.0863896430490542
1676469335.3531382,7,1676469335,350087165,,2.5401602138189636,-5.4234627579054315,0.06854968877464643
1676469335.3669763,8,1676469335,362612962,,2.557137174651857,-5.455792997819263,0.0968635038137523
1676469335.3724055,9,1676469335,370006561,,2.2754370626631717,-5.453582130388836,0.02909829845504875
1676469335.3827302,10,1676469335,380657196,,2.281766149648872,-5.462888067715875,-0.012023493500098433
1676469335.3915186,11,1676469335,390073537,,2.2780927554516386,-5.517354392873471,-0.03865978561873918
1676469335.4017882,12,1676469335,400087833,,2.3666945423835464,-5.477239912998174,-0.039129160711270414
1676469335.4175677,13,1676469335,410184144,,2.260667793414085,-5.451831061414838,0.020223159854216417
1676469335.4213233,14,1676469335,419958114,,2.2803531280078073,-5.3147793665165,0.047544804112584514
1676469335.4348755,15,1676469335,432227134,,2.3083850319330783,-5.116809794396312,0.13745458866932028
1676469335.441885,16,1676469335,440118074,,2.7968593471003285,-4.369680943171704,0.16463913595894586
1676469335.4517586,17,1676469335,450062990,,2.8568900569697155,-3.8160732475674073,0.19298355112773571
1676469335.466069,18,1676469335,462151527,,2.7000203627065993,-3.042812933171877,0.3182836962724292
1676469335.4721277,19,1676469335,470138549,,2.7190182085606893,-2.4608821909784906,0.35004926393148705
1676469335.4820778,20,1676469335,479998826,,3.2290017397578823,-1.7735901322723033,0.5199591399061819
1676469335.4921448,21,1676469335,490161418,,3.353638068431687,-0.7761536008617287,0.5725432151155868
1676469335.5025887,22,1676469335,500095844,,3.2936545681385727,-0.023913208331416674,0.5906891414646784
