Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,connected,armed,guided,manual_input,mode,system_status
1676469335.1241357,218,1676469334,204410569,,True,False,False,True,MANUAL,3
1676469335.2036006,219,1676469335,202526902,,True,False,False,True,MANUAL,3
1676469336.2059386,220,1676469336,205139075,,True,True,False,False,OFFBOARD,4
1676469337.2051795,221,1676469337,203628294,,True,True,False,False,OFFBOARD,4
1676469338.2048235,222,1676469338,203577731,,True,True,False,False,OFFBOARD,4
1676469339.2052457,223,1676469339,203705184,,True,True,False,False,OFFBOARD,4
1676469340.2055593,224,1676469340,204520070,,True,True,False,False,OFFBOARD,4
1676469341.2048929,225,1676469341,203711220,,True,True,False,False,OFFBOARD,4
1676469342.2035902,226,1676469342,202657020,,True,True,False,False,OFFBOARD,4
1676469343.20629,227,1676469343,204736862,,True,True,False,False,OFFBOARD,4
1676469344.205095,228,1676469344,203884394,,True,True,False,False,OFFBOARD,4
1676469345.2060893,229,1676469345,205271555,,True,True,False,False,OFFBOARD,4
1676469346.204889,230,1676469346,203867477,,True,True,False,False,OFFBOARD,4
1676469347.2047672,231,1676469347,203799448,,True,True,False,True,MANUAL,4
1676469348.2059617,232,1676469348,205009396,,True,True,False,True,MANUAL,4
1676469349.205333,233,1676469349,204648713,,True,True,False,True,MANUAL,4
1676469350.205285,234,1676469350,204625149,,True,True,False,True,MANUAL,4
1676469351.205212,235,1676469351,204402083,,True,True,False,True,MANUAL,4
1676469352.2051551,236,1676469352,204363970,,True,True,False,True,MANUAL,4
1676469353.2059042,237,1676469353,203634879,,True,True,False,True,MANUAL,4
1676469354.2062707,238,1676469354,205430280,,True,False,False,True,MANUAL,3
1676469355.203215,239,1676469355,202643983,,True,False,False,True,MANUAL,3
