Time,transforms
1676469335.1200206,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 693490739
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298277854919434
    y: -0.5838792324066162
    z: 0.12463831156492233
  rotation: 
    x: -0.021954650059342384
    y: 0.04678628593683243
    z: -0.0015589658869430423
    w: -0.9986624717712402]"
1676469335.1200306,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 703865728
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.32981276512146
    y: -0.5838860869407654
    z: 0.12462486326694489
  rotation: 
    x: -0.02171030081808567
    y: 0.04691538214683533
    z: -0.0016738824779167771
    w: -0.9986615180969238]"
1676469335.1200755,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 704337146
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.329820156097412
    y: -0.5838809609413147
    z: 0.12463030964136124
  rotation: 
    x: -0.021641209721565247
    y: 0.04693499207496643
    z: -0.0016775148687884212
    w: -0.9986621737480164]"
1676469335.1201131,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 704431108
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298554420471191
    y: -0.5838439464569092
    z: 0.12474464625120163
  rotation: 
    x: -0.01903371699154377
    y: 0.0470132976770401
    z: -0.0011398270726203918
    w: -0.9987123012542725]"
1676469335.1202266,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 713378304
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.329861044883728
    y: -0.5838407278060913
    z: 0.12474427372217178
  rotation: 
    x: -0.019235922023653984
    y: 0.04690086096525192
    z: -0.0010605832794681191
    w: -0.9987138509750366]"
1676469335.1202588,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 713443377
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298580646514893
    y: -0.5838505029678345
    z: 0.12473592162132263
  rotation: 
    x: -0.019131409004330635
    y: 0.04688010364770889
    z: -0.0010688460897654295
    w: -0.9987167119979858]"
1676469335.1202996,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 723373298
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298612833023071
    y: -0.5838502049446106
    z: 0.12474081665277481
  rotation: 
    x: -0.019451025873422623
    y: 0.04668421298265457
    z: -0.0010802048491314054
    w: -0.9987197518348694]"
1676469335.1203148,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 723446427
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298581838607788
    y: -0.5838422775268555
    z: 0.1247468963265419
  rotation: 
    x: -0.01907913200557232
    y: 0.046955522149801254
    z: -0.000981035060249269
    w: -0.9987143278121948]"
1676469335.1203504,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 733366237
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298633098602295
    y: -0.5838429927825928
    z: 0.12474612891674042
  rotation: 
    x: -0.019189342856407166
    y: 0.0468723401427269
    z: -0.0010967255802825093
    w: -0.9987159371376038]"
1676469335.1204045,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 733438477
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298627138137817
    y: -0.5838420987129211
    z: 0.12475427240133286
  rotation: 
    x: -0.01898655854165554
    y: 0.04707445949316025
    z: -0.0010671892669051886
    w: -0.9987103939056396]"
1676469335.1204228,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 743383639
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298660516738892
    y: -0.583844780921936
    z: 0.12473761290311813
  rotation: 
    x: -0.019211838021874428
    y: 0.04691838473081589
    z: -0.0010430520633235574
    w: -0.9987134337425232]"
1676469335.1204517,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 743447453
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298604488372803
    y: -0.5838524103164673
    z: 0.12474190443754196
  rotation: 
    x: -0.019024914130568504
    y: 0.04689186438918114
    z: -0.0010275300592184067
    w: -0.9987183213233948]"
1676469335.1204991,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 743598802
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.329865574836731
    y: -0.5838444232940674
    z: 0.12474601715803146
  rotation: 
    x: -0.019032776355743408
    y: 0.04690307378768921
    z: -0.000977017916738987
    w: -0.9987176060676575]"
1676469335.1205204,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 753354819
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.32986319065094
    y: -0.5838517546653748
    z: 0.12474308907985687
  rotation: 
    x: -0.01928887702524662
    y: 0.04678037390112877
    z: -0.0009540326427668333
    w: -0.9987185001373291]"
